estrutura,cenario,tamanho_base,repeticao,quantidade_operacoes,operacoes_sucesso,tempo_total_segundos,tempo_medio_segundos,memoria_pico_bytes,quantidade_elementos,numero_comparacoes,numero_colisoes,fator_carga,maior_lista,numero_rotacoes,altura_arvore
avl,busca_inexistente,100,13,100,0,0.0004469999112188816,4.469999112188816e-06,112,100,618,,,,0,8
avl,remocao,100,13,10,10,9.049999061971903e-05,9.049999061971902e-06,48,90,65,,,,11,8
avl,vendas,100,13,100,98,0.0003966999938711524,3.966999938711524e-06,112,100,592,,,,0,8
avl,operacoes_mistas,100,13,100,100,0.00032079999800771475,3.2079999800771473e-06,256,100,588,,,,0,8
avl,listagem_codigo,100,13,100,100,2.0300038158893585e-05,2.0300038158893585e-07,864,100,0,,,,0,8
hash,insercao,100,14,100,100,0.0002816000487655401,2.816000487655401e-06,2624,100,27,21,0.4975124378109453,4,,
hash,busca_existente,100,14,100,100,0.00017330003902316093,1.7330003902316094e-06,96,100,127,0,0.4975124378109453,4,,
hash,busca_inexistente,100,14,100,0,0.00021980004385113716,2.1980004385113716e-06,96,100,45,0,0.4975124378109453,4,,
hash,remocao,100,14,10,10,3.360002301633358e-05,3.360002301633358e-06,200,90,11,0,0.44776119402985076,4,,
hash,vendas,100,14,100,98,0.00020430004224181175,2.0430004224181177e-06,96,100,121,0,0.4975124378109453,4,,
hash,operacoes_mistas,100,14,100,100,0.00021570001263171434,2.1570001263171436e-06,264,100,131,0,0.4975124378109453,4,,
hash,listagem_codigo,100,14,100,100,4.12999652326107e-05,4.12999652326107e-07,1984,100,0,0,0.4975124378109453,4,,
avl,insercao,100,14,100,100,0.001645199954509735,1.6451999545097352e-05,10480,100,1074,,,,66,8
avl,busca_existente,100,14,100,100,0.00036509998608380556,3.6509998608380554e-06,112,100,588,,,,0,8
avl,busca_inexistente,100,14,100,0,0.0003007999621331692,3.007999621331692e-06,112,100,618,,,,0,8
avl,remocao,100,14,10,10,5.809997674077749e-05,5.809997674077749e-06,48,90,65,,,,11,8
avl,vendas,100,14,100,98,0.00030640000477433205,3.0640000477433206e-06,112,100,592,,,,0,8
avl,operacoes_mistas,100,14,100,100,0.00027660001069307327,2.7660001069307325e-06,256,100,588,,,,0,8
avl,listagem_codigo,100,14,100,100,1.919991336762905e-05,1.919991336762905e-07,864,100,0,,,,0,8
hash,insercao,100,15,100,100,0.0005042999982833862,5.042999982833862e-06,2624,100,27,21,0.4975124378109453,4,,
hash,busca_existente,100,15,100,100,0.00019829999655485153,1.9829999655485153e-06,96,100,127,0,0.4975124378109453,4,,
hash,busca_inexistente,100,15,100,0,0.00018480001017451286,1.8480001017451287e-06,96,100,45,0,0.4975124378109453,4,,
hash,remocao,100,15,10,10,3.509991802275181e-05,3.5099918022751806e-06,200,90,11,0,0.44776119402985076,4,,
hash,vendas,100,15,100,98,0.0001865000231191516,1.8650002311915159e-06,96,100,121,0,0.4975124378109453,4,,
